weight,horsepower,torque,transmission,body style,drive train,quarter mile,0-60
1721.0,280.0,400.0,3,4,2,14.9 s @ 108.7 mph,5.2
1773.0,304.0,400.0,3,5,2,13.3 s @ 103.0 mph,4.6
925.0,54.0,110.0,2,2,1,22.7 s @ 66.0 mph,17.7
2177.0,315.0,440.0,2,0,2,15.5 s @ 92.0 mph,7.2
2325.0,405.0,640.0,2,0,2,14.2 s @ 97.0 mph,5.8
2153.0,405.0,640.0,2,0,2,13.6 s @ 101.6 mph,5.0
2149.0,408.0,640.0,2,0,2,13.7 s @ 104.6 mph,5.0
1927.0,285.0,400.0,2,0,2,15.0 s @ 96.0 mph,6.5
1640.0,197.0,300.0,2,0,0,15.8 s,7.8
1718.0,175.0,420.0,1,0,0,18.0 s @ 88.9 mph,8.8
1843.0,320.0,400.0,2,4,2,14.6 s @ 95.0 mph,6.0
1974.0,299.0,420.0,2,4,2,14.8 s @ 94.0 mph,6.4
1782.0,299.0,400.0,1,4,2,16.1 s @ 103.1 mph,6.5
1652.0,185.0,400.0,1,4,0,17.8 s @ 88.9 mph,8.6
1640.0,205.0,420.0,2,4,0,16.8 s @ 93.2 mph,7.6
1725.0,200.0,285.0,2,4,2,16.1 s,8.3
1710.0,163.0,340.0,2,4,0,,9.4
1646.0,241.0,320.0,1,4,0,15.7 s,7.0
1833.0,250.0,350.0,2,4,2,16.1 s @ 86.4 mph,8.0
1722.0,253.0,350.0,2,0,0,14.9 s @ 96.0 mph,6.4
1807.0,350.0,500.0,2,4,2,,4.9
1896.0,235.0,480.0,2,5,2,15.6 s,7.1
1756.0,330.0,480.0,2,5,2,,5.3
1796.0,320.0,400.0,2,5,2,13.8 s @ 103.0 mph,5.2
1612.0,306.0,400.0,2,5,0,,5.4
1702.0,250.0,350.0,2,5,0,14.6 s @ 98.0 mph,6.1
1667.0,299.0,400.0,1,5,2,14.0 s @ 101.0 mph,5.5
1733.0,315.0,440.0,2,5,2,15.8 s @ 104.4 mph,6.1
970.0,71.0,102.0,2,5,1,21.2 s @ 68.0 mph,17.3
970.0,86.0,118.0,1,5,1,19.0 s,15.2
1723.0,220.0,320.0,1,3,0,15.7 s @ 92.0 mph,7.3
1502.0,250.0,324.0,2,6,0,,6.1
1653.0,193.0,270.0,1,3,0,16.3 s,8.1
1453.0,220.0,320.0,1,2,0,14.9 s,6.2
1415.0,230.0,320.0,1,2,0,14.8 s @ 97.0 mph,6.3
1507.0,240.0,330.0,1,5,0,16.6 s @ 100.7 mph,6.7
